District.Id;3LC;City;Routes (Booking API & Tariff Search API);isCity;COD;COUNTRY
NTB112;BMU;BIMA;WAWO, BIMA;No;Yes;INDONESIA
SLR195;KDI;KENDARI;WAWO, KOLAKA UTARA;No;No;INDONESIA
SUKSA21;SUK;LAMPUNG TIMUR;WAWAY KARYA, LAMPUNG TIMUR;No;Yes;INDONESIA
SLR251;KDI;KENDARI;WATUNOHU, KOLAKA UTARA;No;No;INDONESIA
JTG553;WNB;WONOSOBO;WATUMALANG, WONOSOBO;No;Yes;INDONESIA
JTM713;TTR;TRENGGALEK;WATULIMO, TRENGGALEK;No;No;INDONESIA
JTG552;PML;PEMALANG;WATUKUMPUL, PEMALANG;No;No;INDONESIA
KDICONS3001;KDI;KENDARI;WATUBANGGA, KOLAKA;No;No;INDONESIA
SLR280;KDI;KENDARI;WATOPUTE, MUNA;No;No;INDONESIA
DIY76;WAZ;WATES;WATES, KULON PROGO;No;Yes;INDONESIA
JTM637;KDR;KEDIRI;WATES, KEDIRI;No;Yes;INDONESIA
JTM636;BLI;BLITAR;WATES, BLITAR;No;Yes;INDONESIA
SLS305;PSW;PAREPARE;WATANG SIDENRENG, SIDENRENG RAPPANG;No;Yes;INDONESIA
PRGAB399;PRG;PINRANG;WATANG SAWITTO, PINRANG;No;Yes;INDONESIA
SLS303;PSW;PAREPARE;WATANG PULU, SIDENRENG RAPPANG;No;Yes;INDONESIA
LUYAB176;LUY;LUWU;WASUPONDA, LUWU TIMUR;No;Yes;INDONESIA
PBR201;SOQ;SORONG;WASIOR, TELUK WONDAMA;No;No;INDONESIA
TTECONS779;WUB;BULI;WASILE UTARA, HALMAHERA TIMUR;No;No;INDONESIA
WUBAB400;WUB;BULI;WASILE TIMUR, HALMAHERA TIMUR;No;No;INDONESIA
TTECONS778;WUB;BULI;WASILE TENGAH, HALMAHERA TIMUR;No;No;INDONESIA
TTECONS777;WUB;BULI;WASILE SELATAN, HALMAHERA TIMUR;No;No;INDONESIA
TTECONS780;WUB;BULI;WASILE, HALMAHERA TIMUR;No;No;INDONESIA
SOQCONS1243;SOQ;SORONG;WARWARBOMI, RAJA AMPAT;No;No;INDONESIA
TGLSA332;TGL;TEGAL;WARUREJA, TEGAL;No;Yes;INDONESIA
JTG550;PML;PEMALANG;WARUNGPRING, PEMALANG;No;No;INDONESIA
JBR623;CJR;CIANJUR;WARUNGKONDANG, CIANJUR;No;Yes;INDONESIA
JBR622;SKB;SUKABUMI;WARUNGKIARA, SUKABUMI;No;Yes;INDONESIA
BTN186;LWA;LEBAK;WARUNGGUNUNG, LEBAK;No;Yes;INDONESIA
JTG549;BXG;BATANG;WARUNGASEM, BATANG;No;Yes;INDONESIA
JBR621;SKB;SUKABUMI;WARUDOYONG, SUKABUMI;No;Yes;INDONESIA
KTM103;BPN;BALIKPAPAN;WARU, PENAJAM PASER UTARA;No;Yes;INDONESIA
JTM685;PSS;PAMEKASAN;WARU, PAMEKASAN;No;Yes;INDONESIA
JTM634;SUB;SURABAYA;WARU, SIDOARJO;No;Yes;INDONESIA
FKQCONS149;FKQ;FAK FAK;WARTUTIN, FAK FAK;No;No;INDONESIA
PAP307;DJJ;JAYAPURA;WARSA, BIAK NUMFOR;No;No;INDONESIA
PAP306;MKQ;MERAUKE;WAROPKO, BOVEN DIGOEL;No;No;INDONESIA
PAP401;DJJ;JAYAPURA;WAROPEN BAWAH, WAROPEN;No;No;INDONESIA
PAP304;DJJ;JAYAPURA;WAROPEN ATAS, MAMBERAMO RAYA;No;No;INDONESIA
PBR160;MKW;MANOKWARI;WARMARE, MANOKWARI;No;No;INDONESIA
OKUSA742;OKU;OGAN KOMERING ULU;WARKUK RANAU SELATAN, OGAN KOMERING ULU SELATAN;No;Yes;INDONESIA
PAP303;DJJ;JAYAPURA;WARIS, KEEROM;No;No;INDONESIA
BTOSC324;BTO;SERANG;WARINGINKURUNG, SERANG;No;Yes;INDONESIA
WMXCONS2199;WMX;WAMENA;WARI/TAIYEVE II, TOLIKARA;No;No;INDONESIA
SLS301;LLO;PALOPO;WARA UTARA, PALOPO;No;Yes;INDONESIA
SLS300;LLO;PALOPO;WARA TIMUR, PALOPO;No;Yes;INDONESIA
SLS299;LLO;PALOPO;WARA SELATAN, PALOPO;No;Yes;INDONESIA
SLS298;LLO;PALOPO;WARA BARAT, PALOPO;No;Yes;INDONESIA
SLS297;LLO;PALOPO;WARA, PALOPO;No;Yes;INDONESIA
